id,accept/deny
7933.0,Deny
101860.0,Accept
62580.0,Deny
1760.0,Deny
48008.0,Deny
9308.0,Deny
27862.0,Accept
87760.0,Deny
53334.0,Deny
72303.0,Deny
63146.0,Deny
36604.0,Deny
39206.0,Deny
50474.0,Deny
1660.0,Accept
67950.0,Accept
74349.0,Deny
96978.0,Deny
103963.0,Deny
22864.0,Deny
104188.0,Deny
52124.0,Accept
26981.0,Deny
101249.0,Deny
60994.0,Deny
54048.0,Deny
23152.0,Deny
87609.0,Deny
1645.0,Deny
32215.0,Deny
8457.0,Deny
35286.0,Deny
2664.0,Deny
24630.0,Deny
1034.0,Deny
86936.0,Deny
4673.0,Accept
60383.0,Deny
17295.0,Deny
56597.0,Deny
76783.0,Deny
45203.0,Deny
31872.0,Deny
99848.0,Deny
76925.0,Accept
40341.0,Deny
64496.0,Deny
10570.0,Deny
18661.0,Deny
13349.0,Deny
82216.0,Deny
97609.0,Deny
75684.0,Deny
90470.0,Accept
68891.0,Deny
84265.0,Deny
76082.0,Deny
65249.0,Deny
26309.0,Deny
6316.0,Deny
61423.0,Deny
45925.0,Deny
44881.0,Deny
98670.0,Deny
86874.0,Deny
36521.0,Deny
105253.0,Deny
70144.0,Deny
66290.0,Deny
25249.0,Deny
33328.0,Deny
102791.0,Deny
33738.0,Deny
14880.0,Deny
23577.0,Deny
71673.0,Deny
18267.0,Deny
91413.0,Accept
722.0,Deny
25533.0,Deny
74993.0,Deny
10577.0,Deny
56706.0,Deny
102511.0,Deny
31788.0,Deny
22955.0,Deny
17906.0,Deny
26366.0,Deny
28918.0,Deny
12485.0,Deny
97060.0,Deny
90980.0,Deny
48602.0,Deny
74330.0,Deny
37480.0,Deny
73825.0,Deny
6992.0,Deny
7726.0,Deny
35991.0,Deny
16781.0,Deny
89629.0,Deny
92804.0,Deny
69162.0,Deny
26166.0,Deny
88287.0,Deny
42483.0,Deny
71127.0,Deny
46995.0,Accept
16468.0,Deny
71191.0,Deny
11370.0,Deny
32933.0,Deny
1299.0,Deny
72209.0,Deny
78129.0,Deny
4278.0,Deny
24759.0,Deny
49737.0,Deny
90044.0,Deny
56084.0,Deny
98905.0,Deny
97111.0,Deny
3656.0,Deny
91114.0,Deny
10241.0,Deny
5097.0,Deny
9811.0,Deny
35136.0,Deny
41857.0,Accept
52546.0,Deny
74687.0,Deny
8411.0,Deny
17167.0,Deny
99534.0,Deny
64382.0,Deny
11216.0,Deny
8373.0,Accept
89549.0,Deny
97119.0,Deny
13939.0,Deny
21850.0,Deny
66529.0,Deny
66342.0,Deny
35593.0,Deny
43466.0,Deny
90106.0,Accept
86147.0,Deny
74540.0,Deny
5728.0,Deny
79732.0,Deny
22374.0,Deny
90737.0,Deny
24558.0,Deny
90275.0,Deny
69613.0,Accept
53741.0,Deny
7927.0,Deny
46681.0,Deny
14641.0,Deny
11516.0,Deny
39058.0,Deny
104000.0,Deny
28216.0,Deny
90578.0,Accept
47205.0,Deny
82203.0,Deny
13999.0,Accept
43071.0,Deny
46242.0,Deny
52968.0,Deny
25520.0,Deny
88227.0,Accept
20699.0,Deny
44400.0,Accept
15859.0,Deny
57865.0,Deny
39734.0,Deny
72286.0,Accept
51383.0,Deny
12652.0,Deny
51130.0,Deny
97918.0,Deny
32955.0,Deny
77753.0,Deny
27149.0,Deny
46723.0,Deny
79096.0,Deny
2826.0,Accept
34486.0,Deny
103084.0,Deny
95783.0,Deny
66097.0,Accept
93310.0,Deny
93085.0,Deny
12516.0,Deny
61607.0,Deny
74798.0,Accept
27939.0,Deny
16338.0,Deny
31171.0,Deny
96613.0,Deny
39898.0,Deny
16985.0,Deny
33707.0,Deny
86174.0,Deny
95574.0,Deny
11453.0,Deny
41194.0,Deny
19405.0,Deny
16518.0,Deny
44097.0,Deny
3713.0,Deny
55333.0,Accept
98717.0,Deny
74049.0,Deny
2666.0,Deny
94640.0,Deny
17098.0,Accept
60811.0,Deny
80949.0,Deny
72377.0,Deny
43454.0,Deny
102794.0,Deny
75929.0,Accept
41452.0,Accept
12256.0,Deny
54781.0,Deny
89089.0,Deny
77570.0,Deny
93484.0,Deny
86074.0,Deny
32877.0,Deny
102433.0,Accept
42357.0,Deny
68091.0,Deny
52351.0,Deny
10830.0,Deny
58413.0,Deny
29812.0,Deny
83441.0,Deny
4301.0,Deny
25142.0,Deny
21334.0,Deny
59827.0,Deny
50201.0,Deny
8351.0,Deny
23069.0,Deny
86987.0,Deny
64831.0,Deny
5019.0,Accept
102340.0,Accept
43528.0,Deny
74355.0,Deny
90235.0,Deny
84998.0,Deny
5373.0,Deny
23124.0,Deny
80987.0,Deny
29426.0,Deny
51986.0,Deny
103304.0,Deny
71961.0,Deny
12987.0,Deny
12702.0,Accept
86958.0,Deny
75168.0,Deny
15728.0,Deny
11519.0,Deny
39897.0,Deny
47174.0,Deny
27673.0,Deny
58257.0,Accept
9487.0,Accept
32305.0,Deny
46115.0,Deny
71386.0,Accept
19476.0,Deny
36018.0,Deny
59624.0,Deny
39949.0,Deny
50484.0,Deny
104440.0,Deny
91952.0,Deny
41368.0,Deny
68797.0,Accept
100013.0,Deny
3321.0,Deny
8370.0,Deny
88190.0,Deny
23166.0,Deny
89756.0,Deny
40993.0,Deny
50944.0,Deny
51047.0,Deny
104087.0,Deny
94081.0,Deny
39233.0,Accept
62522.0,Deny
60989.0,Deny
38386.0,Deny
101775.0,Deny
95677.0,Accept
28848.0,Deny
104772.0,Deny
40047.0,Deny
42496.0,Accept
13346.0,Deny
19125.0,Deny
28606.0,Deny
75950.0,Accept
64957.0,Deny
100573.0,Deny
65920.0,Deny
1544.0,Deny
10913.0,Deny
97054.0,Deny
26429.0,Deny
36674.0,Deny
51557.0,Accept
54224.0,Deny
97796.0,Deny
30934.0,Deny
73286.0,Accept
99323.0,Deny
30574.0,Deny
31873.0,Deny
72620.0,Deny
77823.0,Accept
35701.0,Deny
1335.0,Deny
40783.0,Deny
20374.0,Deny
46595.0,Deny
46271.0,Deny
88909.0,Deny
82420.0,Deny
30369.0,Deny
11531.0,Deny
48672.0,Deny
103081.0,Deny
3090.0,Deny
52354.0,Accept
50639.0,Deny
11837.0,Accept
101879.0,Deny
11252.0,Deny
104815.0,Deny
24139.0,Deny
5556.0,Deny
92420.0,Deny
89364.0,Deny
86241.0,Deny
12715.0,Deny
78886.0,Accept
100472.0,Deny
59758.0,Deny
15835.0,Deny
78860.0,Accept
81498.0,Accept
69286.0,Accept
13976.0,Accept
7266.0,Deny
26410.0,Deny
95435.0,Accept
65610.0,Accept
32531.0,Deny
77361.0,Deny
70992.0,Deny
40457.0,Deny
16028.0,Deny
92814.0,Deny
49870.0,Deny
36405.0,Deny
28201.0,Deny
95639.0,Deny
48432.0,Deny
40002.0,Accept
63356.0,Deny
29874.0,Deny
85085.0,Deny
48498.0,Deny
52519.0,Deny
23446.0,Deny
29458.0,Deny
14640.0,Deny
63638.0,Deny
41534.0,Deny
45313.0,Deny
35113.0,Accept
104484.0,Deny
18812.0,Accept
54920.0,Deny
73993.0,Accept
17826.0,Deny
28925.0,Deny
64179.0,Accept
22343.0,Deny
2528.0,Deny
25727.0,Deny
17196.0,Deny
44555.0,Deny
31654.0,Deny
26181.0,Accept
22414.0,Deny
70408.0,Deny
85682.0,Deny
58705.0,Accept
74086.0,Deny
27471.0,Deny
59930.0,Deny
77654.0,Deny
27136.0,Deny
28254.0,Deny
22485.0,Deny
40592.0,Deny
29755.0,Accept
18977.0,Deny
48949.0,Accept
39953.0,Deny
81306.0,Deny
42055.0,Deny
103517.0,Deny
28187.0,Deny
78709.0,Deny
33980.0,Deny
13957.0,Deny
81063.0,Deny
4638.0,Accept
66669.0,Deny
98790.0,Deny
100294.0,Deny
104017.0,Deny
3100.0,Accept
73955.0,Deny
19411.0,Deny
78814.0,Deny
49679.0,Deny
84739.0,Deny
41937.0,Deny
48365.0,Deny
2060.0,Deny
2396.0,Deny
75181.0,Deny
70210.0,Deny
29550.0,Deny
30095.0,Deny
56488.0,Deny
5884.0,Deny
35065.0,Deny
86114.0,Deny
17997.0,Deny
72124.0,Accept
51702.0,Deny
78647.0,Deny
80914.0,Deny
49338.0,Deny
36147.0,Deny
36349.0,Deny
25111.0,Deny
54605.0,Deny
51106.0,Accept
70097.0,Deny
30202.0,Deny
55005.0,Deny
9759.0,Deny
32279.0,Deny
37077.0,Deny
82744.0,Deny
62687.0,Deny
37531.0,Deny
44474.0,Deny
16663.0,Deny
93540.0,Deny
34016.0,Deny
64507.0,Deny
53094.0,Accept
43207.0,Deny
5350.0,Deny
6523.0,Deny
76642.0,Deny
83325.0,Deny
14139.0,Deny
102684.0,Deny
41468.0,Deny
76385.0,Accept
23190.0,Accept
48338.0,Deny
14520.0,Deny
36785.0,Deny
13760.0,Deny
55383.0,Deny
95203.0,Deny
76222.0,Deny
7024.0,Deny
44598.0,Deny
76006.0,Deny
76225.0,Deny
57034.0,Deny
57268.0,Deny
73093.0,Deny
33977.0,Deny
38828.0,Deny
46327.0,Accept
81033.0,Accept
26452.0,Deny
41973.0,Deny
38019.0,Deny
55990.0,Deny
90265.0,Deny
8793.0,Accept
84499.0,Deny
15087.0,Deny
85208.0,Deny
66041.0,Deny
84032.0,Accept
44149.0,Deny
10606.0,Deny
33730.0,Deny
87714.0,Deny
94660.0,Deny
82354.0,Deny
9181.0,Deny
103322.0,Deny
60924.0,Deny
19035.0,Deny
94301.0,Deny
30083.0,Deny
32029.0,Accept
29276.0,Accept
34.0,Deny
56621.0,Deny
95559.0,Deny
60809.0,Deny
41051.0,Deny
93586.0,Deny
79177.0,Deny
67227.0,Deny
68546.0,Deny
61731.0,Deny
103314.0,Deny
94927.0,Deny
7893.0,Deny
75351.0,Deny
15682.0,Deny
58785.0,Deny
57770.0,Deny
18679.0,Deny
38229.0,Deny
20977.0,Deny
46823.0,Deny
17988.0,Deny
4771.0,Deny
36323.0,Deny
19350.0,Deny
3462.0,Deny
21427.0,Deny
49100.0,Deny
48970.0,Deny
39889.0,Deny
103567.0,Deny
53785.0,Accept
104303.0,Deny
60112.0,Deny
23418.0,Accept
75103.0,Deny
4379.0,Deny
104356.0,Deny
74133.0,Deny
35547.0,Deny
22424.0,Deny
14183.0,Deny
65687.0,Deny
21981.0,Deny
81458.0,Deny
63274.0,Deny
76057.0,Deny
91368.0,Deny
42312.0,Deny
25453.0,Deny
77795.0,Deny
49004.0,Deny
71471.0,Deny
31367.0,Deny
24108.0,Deny
23878.0,Deny
72181.0,Deny
16421.0,Deny
86922.0,Deny
4472.0,Accept
1738.0,Deny
102961.0,Deny
69390.0,Accept
103108.0,Deny
75924.0,Deny
9500.0,Deny
55944.0,Deny
20815.0,Deny
43581.0,Accept
52979.0,Deny
78858.0,Deny
60560.0,Deny
73837.0,Deny
59584.0,Deny
48782.0,Deny
51521.0,Deny
96210.0,Deny
65137.0,Accept
56075.0,Deny
37146.0,Deny
1127.0,Deny
89445.0,Accept
57288.0,Deny
61898.0,Deny
65134.0,Deny
27400.0,Deny
76089.0,Deny
91491.0,Deny
51552.0,Deny
37293.0,Deny
62740.0,Deny
16387.0,Deny
12721.0,Deny
29948.0,Deny
71536.0,Deny
6134.0,Deny
90268.0,Deny
3965.0,Deny
76763.0,Deny
32710.0,Deny
11731.0,Deny
79639.0,Deny
62504.0,Deny
52505.0,Deny
53954.0,Deny
45029.0,Deny
58454.0,Deny
92621.0,Deny
26025.0,Deny
80053.0,Deny
69338.0,Deny
21155.0,Deny
34513.0,Deny
9791.0,Deny
63629.0,Deny
42876.0,Deny
45116.0,Deny
73977.0,Deny
36942.0,Deny
30730.0,Deny
9757.0,Accept
12682.0,Deny
12492.0,Deny
89100.0,Deny
33504.0,Deny
53541.0,Deny
85354.0,Accept
36759.0,Accept
94324.0,Deny
6001.0,Deny
69379.0,Deny
3780.0,Deny
4370.0,Deny
93097.0,Deny
101718.0,Deny
18992.0,Deny
13050.0,Deny
18009.0,Deny
6739.0,Deny
28158.0,Deny
46135.0,Deny
93692.0,Deny
52830.0,Deny
36464.0,Deny
75014.0,Accept
31535.0,Accept
23621.0,Deny
31216.0,Deny
11143.0,Deny
50704.0,Deny
32669.0,Deny
34838.0,Deny
89409.0,Deny
85619.0,Deny
82572.0,Deny
38049.0,Accept
23583.0,Deny
89405.0,Deny
77021.0,Deny
6773.0,Deny
41294.0,Deny
84969.0,Deny
